formatted_work_date,cts_urn,author,title
-0499-01/-0400-12,tlg1309.tlg001,Dialexeis,Fragmenta
-0499-01/-0400-12,tlg1319.tlg002,Diogenes of Apollonia,Fragmenta
-0499-01/-0400-12,tlg1434.tlg004,Hippias of Elis,Fragmenta
-0485-01/-0471-12,tlg0521.tlg008,Epicharmus,Fragmenta
-0484-01/-0405-12,tlg1367.tlg001,Euripides Epistulae,Epistulae
-0474-01/-0474-12,tlg1596.tlg002,Philolaus of Croton,Fragmenta
-0471-01/-0470-12,tlg0055.tlg001,Themistocles,Epistulae
-0469-01/-0412-12,tlg0046.tlg001,Niciae Epistula,Epistula
-0469-01/-0459-12,tlg1634.tlg002,Prodicus,Fragmenta
-0468-01/-0398-12,tlg0636.tlg001,Socrates Epistulae,Epistulae
-0468-01/-0398-12,tlg0637.tlg001,Socraticorum Epistulae,Epistulae
-0459-01/-0369-12,tlg1304.tlg002,Democritus,Fragmenta
-0454-01/-0404-12,tlg0006.tlg020,Euripides,Fragmenta
-0449-01/-0349-12,tlg1287.tlg001,Crantor,Fragmenta
-0426-01/-0379-12,tlg0593.1st1K001,Gorgias of Leontini,Encomium of Helen
-0426-01/-0379-12,tlg0593.1st1K002,Gorgias of Leontini,Defense of Palamedes
-0424-01/-0374-12,tlg0591.1st1K001,Antisthenes,Ajax
-0424-01/-0374-12,tlg0591.1st1K002,Antisthenes,Odysseus
-0424-01/-0374-12,tlg1134.tlg001,Anonymous Iamblichi,Fragmenta
-0424-01/-0400-12,tlg2691.tlg002,"Musaeus, Eleusinius",Fragmenta
-0414-01/-0403-12,tlg0319.tlg004,Critias,Fragmenta
-0412-01/-0412-12,tlg1147.tlg003,Antiphon of Athens,Fragmenta
-0411-01/-0322-12,tlg1325.tlg001,Diogenes Sinopensis Epistulae,Epistulae
-0407-01/-0338-12,tlg1692.tlg005,Speusippus,Fragmenta
-0399-01/-0300-12,tlg0610.perseus002,Alcidamas,Peri Sophiston
-0399-01/-0300-12,tlg0610.tlg001,Alcidamas,Odysseus
-0399-01/-0349-12,tlg0620.tlg002,Archytas of Tarentum,Fragmenta
-0396-01/-0312-12,tlg0634.tlg001,Xenocrates of Chalcedon,Fragmenta
-0389-01/-0321-12,tlg1409.opp003,Heraclides Ponticus,Epitoma to Res Publica Atheniensium
-0370-01/-0285-12,tlg0093.ogl001,Theophrastus,De odoribus
-0370-01/-0285-12,tlg0093.ogl002,Theophrastus,De signis tempestatum
-0370-01/-0285-12,tlg0093.tlg001,Theophrastus,Enquiry into Plants_Historia plantarum
-0370-01/-0285-12,tlg0093.tlg002,Theophrastus,De causis plantarum_On the Causes of Plants
-0370-01/-0285-12,tlg0093.tlg003,Theophrastus,De sensu et sensibilibus
-0370-01/-0285-12,tlg0093.tlg004,Theophrastus,De lapidibus
